,Unnamed: 0,index,Time,Velocity,Acceleration,SpaceGap,LateralDistance,RelativeVelocity,LongitudeGPS,LatitudeGPS,Score,TrackID,L_Approach,R_Approach,L_Adjacent,R_Adjacent,DistanceGPS,MileMarker,Bearing,DrivingDir,ValidPt
0,0,3358,1619473246.9,86.44053720792186,0.013174688287114754,37.0,,,-86.6850093,36.0649395,,,0.0,0.0,0.0,0.0,6279.152813660453,-6204.852813660453,356.76777530213417,West,False
1,1,3359,1619473247.0,86.4444416283277,0.003433663902895893,36.72005085838447,,,-86.6849922,36.0649228,,,0.0,0.0,0.0,0.0,6281.563358503075,-6207.2633585030735,356.8603620741333,West,True
2,2,3360,1619473247.1,86.43078622365832,-0.005547369604043933,36.21931066593444,,,-86.6849747,36.0649062,,,0.0,0.0,0.0,0.0,6283.988512244703,-6209.688512244705,356.7853905091729,West,True
3,3,3361,1619473247.2,86.41,-0.013895351952739164,36.0,,,-86.6849573,36.0648893,,,0.0,0.0,0.0,0.0,6286.4333919094715,-6212.133391909471,356.8603291247987,West,True
4,4,3362,1619473247.3,86.35817664081063,-0.02178177231758224,36.0,,,-86.6849398,36.0648727,,,0.0,0.0,0.0,0.0,6288.858546085534,-6214.558546085534,356.78481434653185,West,True
5,5,3363,1619473247.4,86.3434185152157,-0.029413703322927632,36.0,,,-86.6849223,36.0648557,,,0.0,0.0,0.0,0.0,6291.317722814788,-6217.017722814788,356.8431662704633,West,True
6,6,3364,1619473247.5,86.274651156514,-0.03701630917511406,36.0,,,-86.684905,36.0648392,,,0.0,0.0,0.0,0.0,6293.722762846717,-6219.422762846718,356.8036544265059,West,True
7,7,3365,1619473247.6,86.28,-0.04481810554076555,36.0,,,-86.6848875,36.0648223,,,0.0,0.0,0.0,0.0,6296.1734030227735,-6221.873403022773,356.86026322361397,West,True
8,8,3366,1619473247.7,86.22231018168226,-0.05303029115356117,36.0,,,-86.68486999999998,36.0648057,,,0.0,0.0,0.0,0.0,6298.598558069133,-6224.298558069133,356.7667465730827,West,True
9,9,3367,1619473247.8,86.2422658451192,-0.06183056093252035,36.0,,,-86.6848527,36.0647888,,,0.0,0.0,0.0,0.0,6301.037698869587,-6226.737698869588,356.8224788706057,West,True
10,10,3368,1619473247.9,86.18065314187375,-0.07134537743827693,36.0,,,-86.68483520000002,36.064772,,,0.0,0.0,0.0,0.0,6303.479823499389,-6229.1798234993885,356.8413376572302,West,True
11,11,3369,1619473248.0,86.19650371435421,-0.08163821131346355,36.0,,,-86.6848177,36.0647553,,,0.0,0.0,0.0,0.0,6305.913453159265,-6231.613453159264,356.86019732475387,West,True
12,12,3370,1619473248.1,86.16273981469496,-0.09270104121470762,36.0,,,-86.6848002,36.06473870000001,,,0.0,0.0,0.0,0.0,6308.338609073059,-6234.038609073059,356.7852218367559,West,True
13,13,3371,1619473248.2,86.20433930906714,-0.10445190107743484,36.0,,,-86.6847828,36.0647218,,,0.0,0.0,0.0,0.0,6310.783490867914,-6236.483490867914,356.8404297858819,West,True
14,14,3372,1619473248.3,86.10057208872458,-0.11673886046218182,36.0,,,-86.6847652,36.064705,,,0.0,0.0,0.0,0.0,6313.231415525479,-6238.931415525479,356.8231547287257,West,True
15,15,3373,1619473248.4,86.10261869920944,-0.12934791938913642,36.0,,,-86.6847478,36.0646883,,,0.0,0.0,0.0,0.0,6315.659246018227,-6241.359246018227,356.8223786476128,West,True
16,16,3374,1619473248.5,85.97439657479259,-0.14201739502381647,36.0,,,-86.6847303,36.0646715,,,0.0,0.0,0.0,0.0,6318.10137194249,-6243.80137194249,356.8047959654091,West,True
17,17,3375,1619473248.6,86.049951063534,-0.15445241772746424,36.0,,,-86.684713,36.06465479999999,,,0.0,0.0,0.0,0.0,6320.523422296587,-6246.223422296587,356.82234540033335,West,True
18,18,3376,1619473248.7,85.91697441512659,-0.16634302350056854,36.0,,,-86.68469549999998,36.064638,,,0.0,0.0,0.0,0.0,6322.965548652481,-6248.6655486524805,356.87895960775484,West,True
19,19,3377,1619473248.8,85.84388990757719,-0.1773789268557321,36.0,,,-86.684678,36.0646215,,,0.0,0.0,0.0,0.0,6325.382253580236,-6251.0822535802345,356.82231195723665,West,True
20,20,3378,1619473248.9,85.74159523018422,-0.1872637742411664,36.0,,,-86.68466049999998,36.0646047,,,0.0,0.0,0.0,0.0,6327.824380366174,-6253.524380366174,356.8047289103957,West,True
21,21,3379,1619473249.0,85.70907853856862,-0.1957254424353984,36.0,,,-86.6846432,36.064588,,,0.0,0.0,0.0,0.0,6330.2464315667285,-6255.946431566728,356.8411552929057,West,True
22,22,3380,1619473249.1,85.66084472576887,-0.20252245197340546,36.0,,,-86.6846257,36.0645713,,,0.0,0.0,0.0,0.0,6332.680063604208,-6258.380063604208,356.8420066815165,West,True
23,23,3381,1619473249.2,85.57545272617429,-0.20744960652683472,36.0,,,-86.6846083,36.0645547,,,0.0,0.0,0.0,0.0,6335.099401541282,-6260.7994015412805,356.8046787602143,West,True
24,24,3382,1619473249.3,85.51917107551319,-0.21033781508856608,36.0,,,-86.684591,36.064538,,,0.0,0.0,0.0,0.0,6337.521453376925,-6263.221453376925,356.8411057170643,West,True
25,25,3383,1619473249.4,85.51872089293731,-0.2110588135939761,36.0,,,-86.6845735,36.0645213,,,0.0,0.0,0.0,0.0,6339.9550860599475,-6265.655086059949,356.82373989202654,West,True
26,26,3384,1619473249.5,85.43792911434697,-0.209522593116354,36.0,,,-86.6845562,36.0645047,,,0.0,0.0,0.0,0.0,6342.368623709554,-6268.068623709556,356.78608989928256,West,True
27,27,3385,1619473249.6,85.38282905116071,-0.2056850164975444,35.718470796106146,,,-86.684539,36.064488,,,0.0,0.0,0.0,0.0,6344.784915199942,-6270.4849151999415,356.8221791486885,West,True
28,28,3386,1619473249.7,85.31651522248244,-0.19954563730809546,35.21908159183129,,,-86.6845215,36.06447120000001,,,0.0,0.0,0.0,0.0,6347.227043703061,-6272.927043703062,356.84278580288935,West,True
29,29,3387,1619473249.8,85.21935126667745,-0.1911582347738052,35.0,,,-86.6845042,36.0644547,,,0.0,0.0,0.0,0.0,6349.632088649271,-6275.332088649271,356.7476312511544,West,True
30,30,3388,1619473249.9,85.19610527944941,-0.18062769463380152,35.0,,,-86.684487,36.0644378,,,0.0,0.0,0.0,0.0,6352.065513351899,-6277.765513351901,356.82365728896025,West,True
31,31,3389,1619473250.0,85.07034034446869,-0.16811918771328144,35.0,,,-86.68446970000002,36.06442120000001,,,0.0,0.0,0.0,0.0,6354.479052064226,-6280.179052064225,356.82287246439836,West,True
32,32,3390,1619473250.1,85.05176953637523,-0.15384994775766736,35.0,,,-86.68445229999998,36.0644045,,,0.0,0.0,0.0,0.0,6356.906886192802,-6282.6068861928015,356.84272011451867,West,True
33,33,3391,1619473250.2,85.02804716804201,-0.13809192423110242,35.0,,,-86.684435,36.064388,,,0.0,0.0,0.0,0.0,6359.311931990792,-6285.0119319907935,356.78597278633123,West,True
34,34,3392,1619473250.3,84.96361857496,-0.12115555710006493,35.0,,,-86.68441779999998,36.0643713,,,0.0,0.0,0.0,0.0,6361.728224948473,-6287.428224948473,356.8235912036272,West,True
35,35,3393,1619473250.4,84.89003594267842,-0.10338431735884347,35.0,,,-86.6844005,36.0643547,,,0.0,0.0,0.0,0.0,6364.141764507634,-6289.841764507633,356.7859394504278,West,True
36,36,3394,1619473250.5,84.93543153193392,-0.08513211563097492,35.0,,,-86.6843833,36.064338,,,0.0,0.0,0.0,0.0,6366.558057884004,-6292.258057884002,356.7671669079763,West,True
37,37,3395,1619473250.6,84.92946853912092,-0.06675348096812572,35.0,,,-86.6843662,36.0643213,,,0.0,0.0,0.0,0.0,6368.9686102181495,-6294.668610218149,356.8051123893128,West,True
